test_num,passage_num,question,correct_context_index
2,1,The  main  theme ot  this passage concerns  the:,3
2,1,Which  of  the following  questions  is  NOT  answered  by information  in  the passage?,3
2,1,   The  narrator  draws  which  of  the  follo wing  compar- isons between  the old couple and  Eugene’ s parents?,2
2,1,"  In  terms  of  developing  the  narrative,  the last two  para- graphs (1ines 67-87   primarily   serve  to:",0
2,1,"   It  can  most  reasonably  be  interred  from  the  passage that  when  the  narrator  says,   “I  didn’t  see  the  red, yellow,  and  purple  clusters  that  meant   towers  to  me” (lines  30-31), she is most  nearly  indicating  that:",4
2,1,"   Acc ording  to  the  narrator,   which   ot  the  fol1owin g statements  was true  about   Eugene  at the moment  when she first  talked  to him?",3
2,1,"   When  the  narrator  say s,  “I  began  to  think  of  the  pre- sent  more  than  at  the   future”  (lines  80—81),  she  most likely  means  that meeting  Eugene  led her to:",0
2,1,The  narrator  most  nearly  portrays  her  parents'  dreams as:,1
2,1,The narrator  claims  that she felt close  to the old couple because  she had:,1
2,1,  Which  ot  the  tollowing  best  describes  the  narrator’ s feelings  about  secretly   observing  Eugene  at his home?,2
2,2,"  As  she is revealed  in  the passage,  ER  is best  described as:",0
2,2,The  author  presents  ER's  accomplishments  as  excep- tional because ER:,2
2,2,"  According  to  the  passage,  ER  believed  that  social reform should include all of  the  following EXCEPT:",1
2,2,"  Based  on  the  passage,  ER's  approach  to  social  reform can best be characterized  as:",3
2,2,"  It  can  reasonably  be  inferred  from  the  passage  that  at the  time  ER  began  working   for  social  reform,  the United States was:",0
2,2,"   According  to  the  last  paragraph,  which  of  the  fol- lowing  statements  would  the   author  most  likely  make with regard to ER's vision and ideals?",1
2,2,"   In  terms  of  the  passage  as  a  whole,  one  of  the  main functions  of  the  third   paragraph  (lines  13-19)  is  to suggest  that:",1
2,2,"  According  to the passage,  the primary  principle  under- lying ER's goals was that:",2
2,2,  The  passage  states  that  ER  believed  the  relationship between  a people and their  government  should  be:,4
2,2,"  In  the  context  of  the  passage,  the  author's  statement that  ER  “enjoyed  the  game,   and  weathered  the  abuse” (line 93) most nearly  means that ER:",0
2,3,Which  of  the  following  statements  best  describes  the structure of  this  passage?,1
2,3,"  In   terms   of   mood,   which   of   the   following   best describes lines 9-44?",2
